label,country_id,pid,city_id,fold
5,QCD,z5tkosm85q,4VAXW,1
1,QCD,nqblpfzyv6,4VAXW,1
1,QCD,e2k9hq8wdy,4VAXW,1
5,QCD,nputhcozta,4VAXW,1
5,QCD,qqwlqjcsky,4VAXW,1
3,QCD,wlmboykzg4,4VAXW,1
5,QCD,l48gez2pbc,4VAXW,1
0,QCD,bdauyunjyg,4VAXW,1
5,QCD,grvhzbj3yg,4VAXW,1
5,QCD,dh8znqklnr,4VAXW,1
4,QCD,lxclkwvbtr,4VAXW,1
5,QCD,9tctndbnus,4VAXW,1
4,QCD,jrpsnhobus,4VAXW,1
4,QCD,eeuvhjebvc,4VAXW,1
1,QCD,yclsd46erg,4VAXW,1
1,QCD,nxnvxikrtz,4VAXW,1
1,QCD,3bx9swuia9,4VAXW,1
0,QCD,ambpfxtfaa,4VAXW,1
5,QCD,hixnwxmo3a,4VAXW,1
3,QCD,adgh84jfy4,4VAXW,1
4,QCD,rtpbq3hhdh,4VAXW,1
5,QCD,kxm688e3ju,4VAXW,1
5,QCD,acvuj4cx3a,4VAXW,1
5,QCD,8zlgscgswe,4VAXW,1
3,QCD,ybft4xry26,4VAXW,1
3,QCD,duepqthxja,4VAXW,1
5,QCD,mon3lordj6,4VAXW,1
0,QCD,y5vex9df73,4VAXW,1
2,QCD,7b3gnevkiw,4VAXW,1
5,QCD,zt7mctzmph,4VAXW,1
1,QCD,bn2nvwtnuz,4VAXW,1
0,QCD,k8yyez6ym2,4VAXW,1
2,QCD,ja4wk77ecf,4VAXW,1
1,QCD,yg399zsuri,4VAXW,1
1,QCD,xfzhnhbgbs,4VAXW,1
2,QCD,bftkscihqa,4VAXW,1
5,QCD,cfuzdpsyhs,4VAXW,1
1,QCD,6m7najwhca,4VAXW,1
5,QCD,ac6ulxpot4,4VAXW,1
0,QCD,6tj7yo7yjr,4VAXW,1
1,QCD,uwa6rfnysj,4VAXW,1
5,QCD,lqq7r867sv,4VAXW,1
3,QCD,x32jgvujkj,4VAXW,1
1,QCD,ilrnwfm9hs,4VAXW,1
3,QCD,bbct8kwi7j,4VAXW,1
2,QCD,nvffprfywf,4VAXW,1
1,QCD,tfqgwtwhuy,4VAXW,1
4,QCD,rmclpet8su,4VAXW,1
2,QCD,wymuot2ez7,4VAXW,1
1,QCD,mimobigt34,4VAXW,1
2,QCD,xdcrfjhpj7,4VAXW,1
